date,net_value
2021-08-10,9952880.440050002
2021-08-11,9950766.964570003
2021-08-12,9952428.562030002
2021-08-13,9953539.637130002
2021-08-16,9952311.097550003
2021-08-17,9954244.097550003
2021-08-18,9964306.097550003
2021-08-19,9965051.097550003
2021-08-20,9961704.097550003
2021-08-23,9959453.097550003
2021-08-24,9959711.097550003
2021-08-25,9963832.097550003
2021-08-26,9959898.097550003
2021-08-27,9959441.097550003
2021-08-30,9959761.097550003
2021-08-31,9958378.909340002
2021-09-01,9959014.909340002
2021-09-02,9961273.687300002
2021-09-03,9962656.596580002
2021-09-06,9961820.043460002
2021-09-07,9961685.043460002
2021-09-08,9962306.082840003
2021-09-09,9962641.917640002
2021-09-10,9963133.917640002
2021-09-13,9963120.917640002
2021-09-14,9961658.917640002
2021-09-15,9961636.917640002
2021-09-16,9961102.917640002
2021-09-17,9960602.917640002
2021-09-22,9960252.917640002
2021-09-23,9959150.832220003
2021-09-24,9957872.832220003
2021-09-27,9954174.832220003
2021-09-28,9953532.832220003
2021-09-29,9952709.832220003
2021-09-30,9952272.832220003
2021-10-08,9951173.417100003
2021-10-11,9951613.892160002
2021-10-12,9951058.36666
2021-10-13,9950699.292520002
2021-10-14,9951505.960840002
2021-10-15,9952506.923060002
2021-10-18,9953816.224220002
2021-10-19,9955469.224220002
2021-10-20,9954779.224220002
2021-10-21,9952780.224220002
2021-10-22,9952237.224220002
2021-10-25,9953245.224220002
2021-10-26,9952565.224220002
2021-10-27,9952241.224220002
2021-10-28,9952211.224220002
2021-10-29,9951720.224220002
2021-11-01,9951356.224220002
2021-11-02,9951066.224220002
2021-11-03,9950389.224220002
2021-11-04,9950485.224220002
2021-11-05,9950616.879420003
2021-11-08,9950813.603820002
2021-11-09,9950857.461280003
2021-11-10,9950758.215304002
2021-11-11,9951128.215304002
2021-11-12,9953150.215304002
2021-11-15,9954121.215304002
2021-11-16,9952661.296324002
2021-11-17,9951152.143964004
2021-11-18,9952403.735124003
2021-11-19,9951890.578584004
2021-11-22,9953186.690924004
2021-11-23,9955018.690924004
2021-11-24,9954771.690924004
2021-11-25,9955014.690924004
2021-11-26,9954411.690988004
2021-11-29,9954756.979474002
2021-11-30,9954081.410874004
2021-12-01,9954342.410874004
2021-12-02,9951430.410874004
2021-12-03,9950764.410874004
2021-12-06,9948969.410874004
2021-12-07,9948289.410874004
2021-12-08,9948226.410874004
2021-12-09,9948223.410874004
2021-12-10,9947624.410874004
2021-12-13,9947548.410874004
2021-12-14,9947626.410874004
2021-12-15,9948046.410874004
2021-12-16,9946718.410874004
2021-12-17,9947205.410874004
2021-12-20,9944147.410874004
2021-12-21,9943547.410874004
2021-12-22,9946741.410874004
2021-12-23,9947108.410874004
2021-12-24,9939554.410874004
2021-12-27,9939233.410874004
2021-12-28,9940858.410874004
2021-12-29,9941401.410874004
2021-12-30,9943424.410874004
2021-12-31,9941346.410874004
