date,close,open,high,low,volume,returns
2022/1/13,"3,725.74","3,773.87","3,773.95","3,725.64",36.91B,-1.18%
2022/1/12,"3,770.09","3,749.86","3,772.31","3,743.48",34.29B,0.84%
2022/1/11,"3,738.63","3,762.26","3,774.99","3,733.68",35.95B,-0.73%
2022/1/10,"3,766.03","3,744.22","3,766.03","3,725.80",35.60B,0.39%
2022/1/7,"3,751.34","3,761.04","3,780.28","3,748.77",43.61B,-0.18%
2022/1/6,"3,757.99","3,752.88","3,766.86","3,730.49",37.12B,-0.25%
2022/1/5,"3,767.52","3,802.23","3,802.23","3,755.22",42.35B,-1.02%
2022/1/4,"3,806.50","3,824.18","3,827.00","3,783.15",40.46B,-0.20%
2021/12/31,"3,814.30","3,800.16","3,817.52","3,798.82",32.94B,0.57%
2021/12/30,"3,792.80","3,769.00","3,803.10","3,767.96",30.76B,0.62%
2021/12/29,"3,769.55","3,805.12","3,805.12","3,768.85",30.49B,-0.91%
2021/12/28,"3,804.29","3,793.38","3,805.32","3,780.43",31.59B,0.39%
2021/12/27,"3,789.51","3,786.58","3,806.68","3,774.73",32.89B,-0.06%
2021/12/24,"3,791.82","3,820.56","3,824.29","3,785.50",39.00B,-0.69%
2021/12/23,"3,818.35","3,799.54","3,818.46","3,791.72",38.26B,0.57%
2021/12/22,"3,796.52","3,807.31","3,810.55","3,790.15",39.44B,-0.08%
2021/12/21,"3,799.38","3,764.15","3,801.38","3,764.15",40.78B,0.88%
2021/12/20,"3,766.39","3,794.18","3,819.30","3,761.94",42.34B,-1.07%
2021/12/17,"3,807.11","3,846.89","3,850.52","3,806.40",40.80B,-1.16%
2021/12/16,"3,851.90","3,824.50","3,851.90","3,820.08",38.09B,0.75%
2021/12/15,"3,823.12","3,831.12","3,844.96","3,820.60",37.71B,-0.39%
2021/12/14,"3,837.90","3,846.57","3,848.56","3,830.69",36.18B,-0.53%
2021/12/13,"3,858.42","3,864.59","3,887.70","3,855.24",42.37B,0.40%
2021/12/10,"3,842.97","3,830.31","3,844.54","3,827.13",41.96B,-0.18%
2021/12/9,"3,849.93","3,816.48","3,866.09","3,813.91",43.16B,0.98%
2021/12/8,"3,812.71","3,776.27","3,812.87","3,764.86",36.08B,1.18%
2021/12/7,"3,768.13","3,785.07","3,788.21","3,744.50",40.35B,0.16%
2021/12/6,"3,762.10","3,789.14","3,800.70","3,759.49",41.82B,-0.50%
2021/12/3,"3,780.96","3,748.52","3,782.07","3,745.11",37.72B,0.94%
2021/12/2,"3,745.77","3,745.08","3,759.41","3,738.72",35.37B,-0.08%
2021/12/1,"3,748.88","3,733.10","3,748.88","3,729.75",32.95B,0.37%
2021/11/30,"3,735.22","3,742.42","3,754.32","3,716.78",34.84B,0.03%
2021/11/29,"3,733.96","3,698.17","3,734.97","3,695.75",33.33B,-0.04%
2021/11/26,"3,735.32","3,747.95","3,747.95","3,725.66",30.07B,-0.56%
2021/11/25,"3,756.40","3,766.14","3,770.05","3,751.56",30.62B,-0.24%
2021/11/24,"3,765.41","3,762.59","3,775.96","3,747.14",33.65B,0.10%
